date,equity,open_positions
2017-11-02,6244544.227378078,100
2017-11-03,6250735.508066634,99
2017-11-06,6257235.630977966,99
2017-11-07,6241003.925627782,100
2017-11-08,6222976.141902416,96
2017-11-09,6238792.034478548,98
2017-11-10,6241876.669842597,100
2017-11-13,6243030.501517707,95
2017-11-14,6246449.711222768,96
2017-11-15,6225135.705504168,89
2017-11-16,6239230.495420556,91
2017-11-17,6240525.823626887,98
2017-11-20,6250039.7407375015,100
2017-11-21,6245897.831201617,100
2017-11-22,6253341.844922094,100
2017-11-23,6257156.2068743985,100
2017-11-24,6256425.463210611,100
2017-11-27,6262741.038070707,100
2017-11-28,6265268.273463227,100
2017-11-29,6266408.439651467,100
2017-11-30,6266769.295699775,100
2017-12-01,6254017.846278684,97
2017-12-04,6246641.344873394,96
2017-12-05,6249475.011744052,96
2017-12-06,6241002.611631547,92
2017-12-07,6264385.519787552,95
2017-12-08,6278555.502317978,99
2017-12-11,6278799.613656213,100
2017-12-12,6277188.503473028,99
2017-12-13,6262654.400197875,96
2017-12-14,6263389.276487953,98
2017-12-15,6279078.59878511,99
2017-12-18,6284279.827924472,100
2017-12-19,6304750.438136798,100
2017-12-20,6310072.668340427,100
2017-12-21,6319317.720180255,100
2017-12-22,6327560.426463825,100
2017-12-26,6336451.9548241915,100
2017-12-27,6336610.064191562,100
2017-12-28,6343920.284616214,100
2017-12-29,6356826.214204074,100
2018-01-01,6363095.659676791,100
2018-01-02,6364998.100172681,100
2018-01-03,6389746.800985974,100
2018-01-04,6395614.091572446,100
2018-01-05,6403142.39959876,100
2018-01-08,6418341.055540901,100
2018-01-09,6420030.895172935,100
2018-01-10,6417784.29996286,100
2018-01-11,6427045.406611305,100
2018-01-12,6430043.712470357,100
2018-01-15,6433972.90777046,100
2018-01-16,6408767.749701653,100
2018-01-17,6408858.805259916,100
2018-01-18,6382808.4243555255,95
2018-01-19,6397616.230556223,100
2018-01-22,6416857.947693506,100
2018-01-23,6426239.390404785,100
2018-01-24,6418037.810628704,100
2018-01-25,6418570.040007536,99
2018-01-29,6408479.257908522,90
2018-01-30,6394693.840711445,84
2018-01-31,6378632.466979635,80
2018-02-01,6372222.687077849,80
2018-02-02,6327648.7130430145,66
2018-02-05,6314036.467912025,61
2018-02-06,6298501.559878429,54
2018-02-07,6308444.789302785,56
2018-02-08,6320809.929138563,57
2018-02-09,6319682.4462204315,58
2018-02-12,6329030.464259109,63
2018-02-14,6335911.524127761,65
2018-02-15,6326812.995715896,65
2018-02-16,6315980.862446566,63
2018-02-19,6304254.532239621,59
2018-02-20,6300736.897509383,59
2018-02-21,6308110.735020475,58
2018-02-22,6310310.96051059,59
2018-02-23,6319466.229696264,61
2018-02-26,6324314.752074778,65
2018-02-27,6322311.171179468,65
2018-02-28,6322771.586100275,65
2018-03-01,6320358.36434865,63
2018-03-05,6314150.561145067,63
2018-03-06,6302941.915191219,61
2018-03-07,6290899.470477163,56
2018-03-08,6292476.614744634,55
2018-03-09,6290691.565779345,54
2018-03-12,6295366.981861578,53
2018-03-13,6300526.693807112,53
2018-03-14,6301266.236913191,53
2018-03-15,6303320.195296086,52
